location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,org_acronym,org_name,org_type_description,sector_code,sector_name,reference_period_start,reference_period_end
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,IRC,International Rescue Committee,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,JRS,Jesuit Refugee Services,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,NAC,Norwegian Afghanistan Committee,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,NQA,Nai Qala Association,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,PUI,Première Urgence Internationale,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,RHDO,Relief Humanitarian Development Organization,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,RI,Relief International,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,UNFPA,United Nations Population Fund,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,UNICEF,United Nations Children's Fund,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,UNMAS,United Nations Mine Action Service,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,WHH,Welthungerhilfe,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,WHO,World Health Organization,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,WSTA,Watan Social and Technical Services Association,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,WSTA,Watan Social and Technical Services Association,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Qara Bagh,AF11,Ghazni,AF1111,Qara Bagh,2,WYFAO,Women and Youth Future Assist Organization,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,AADA,Agency for Assistance and Development of Afghanistan,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,AAR-JAPAN,Association of Aid and Relief,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,AFGHANAID,Afghan Aid,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,AREA,Agency for Rehabilitation and Energy Conservation in Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,ARWEO,Afghanistan Rehabilitation and Women Education Organization ,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,AWDREO,Action For Welfare And Development In Rural Environments Organization,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,CARE,Care International in Afghanistan,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,CARE,Care International in Afghanistan,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,CARE,Care International in Afghanistan,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,IMC,International Medical Corps,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,IR,Islamic Relief Worldwide,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,MAPWO,Move Against Poverty Women Organization,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,NAC,Norwegian Afghanistan Committee,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,NSRDO,New Society Reconstruction Development Organization ,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,SCI,Save the Children International,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,SFL,SFL International,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,SUO,Social Uplift Organization,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,WSTA,Watan Social and Technical Services Association,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Rashidan,AF11,Ghazni,AF1109,Rashidan,2,WSTA,Watan Social and Technical Services Association,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,ADA,Afghan Development Association,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,AFGHANAID,Afghan Aid,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,AREA,Agency for Rehabilitation and Energy Conservation in Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,ASOW,Afghan Social Organization for Women,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,AWDREO,Action For Welfare And Development In Rural Environments Organization,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,CARE,Care International in Afghanistan,International NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,DRC,Danish Refugee Council,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,HADAAF,Humanitarian Assistance and Development Association for Afghanistan ,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,HT,Halo Trust ,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,MSH,Management Science for Health,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,NAC,Norwegian Afghanistan Committee,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,PUI,Première Urgence Internationale,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,PUI,Première Urgence Internationale,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,SUO,Social Uplift Organization,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,UNMAS,United Nations Mine Action Service,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,WHO,World Health Organization,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,WSTA,Watan Social and Technical Services Association,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Waghaz,AF11,Ghazni,AF1104,Waghaz,2,WSTA,Watan Social and Technical Services Association,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,AFGHANAID,Afghan Aid,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,AREA,Agency for Rehabilitation and Energy Conservation in Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,CARE,Care International in Afghanistan,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,CARE,Care International in Afghanistan,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,COAR,Coordination of Afghan Relief,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,DACAAR,Danish Committee for Aid to Afghan Refugees,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,HADAAF,Humanitarian Assistance and Development Association for Afghanistan ,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,HADAF,Humanitarian Assistance for Development of Afghanistan,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,HT,Halo Trust ,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,NAC,Norwegian Afghanistan Committee,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,PUI,Première Urgence Internationale,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,PUI,Première Urgence Internationale,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,SFL,SFL International,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,SUO,Social Uplift Organization,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Hirat,Injil,AF32,Hirat,AF3202,Injil,2,JRS,Jesuit Refugee Services,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,UNMAS,United Nations Mine Action Service,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,WHO,World Health Organization,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,WSTA,Watan Social and Technical Services Association,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,Wal-e-Muhammad-e-Shahid,AF11,Ghazni,AF1102,Wal-e-Muhammad-e-Shahid,2,WSTA,Watan Social and Technical Services Association,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,AAR-JAPAN,Association of Aid and Relief,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,ACTD,Afghanistan Center for Training and Development,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,ADWSO,Afghanistan Development & Welfare Services Organization,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,AFGHANAID,Afghan Aid,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,CARE,Care International in Afghanistan,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,CARE,Care International in Afghanistan,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,DACAAR,Danish Committee for Aid to Afghan Refugees,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,HADAF,Humanitarian Assistance for Development of Afghanistan,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,HT,Halo Trust ,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,SUO,Social Uplift Organization,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,UNFPA,United Nations Population Fund,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,UNMAS,United Nations Mine Action Service,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,WHO,World Health Organization,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,WSTA,Watan Social and Technical Services Association,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghazni,ZanAKAHn,AF11,Ghazni,AF1108,Zanakhan,2,WSTA,Watan Social and Technical Services Association,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,AADA,Agency for Assistance and Development of Afghanistan,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,AADA,Agency for Assistance and Development of Afghanistan,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,ACF,Action against Hunger,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,AFGHANAID,Afghan Aid,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,AIL,Afghan Institute of Learning,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,BARAN,Bu Ali Rehabilitation and Aid Network,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,CARE,Care International in Afghanistan,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,DCA,Dutch Committee for Afghanistan,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,IOM,International Organization for Migration,United Nations,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,IR,Islamic Relief Worldwide,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,IR,Islamic Relief Worldwide,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,MSF,Doctors Without Borders,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,MSI,"Management Systems International, Inc.",International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,NPO-RRAA,Norwegian Project Office / Rural Rehabilitation Association for Afghanistan,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,OCCD,Organization for Community Coordination of Development,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,OHPM,Organization for Health Promotion Management,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,RRSWO,Rah-e-Rahnaward Social Welfare Organization,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,UNFPA,United Nations Population Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,UNMAS,United Nations Mine Action Service,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,WDIO,Watan Development and Initiative Organization,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,WHO,World Health Organization,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,WVI,World Vision International,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Ghor,Charsadra,AF23,Ghor,AF2304,Charsadra,2,WVI,World Vision International,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Ghor,Dawlatyar,AF23,Ghor,AF2303,Dawlatyar,2,AAA,Action Aid Afghanistan,International NGO,FSC,Food Security,2025-07-01,2025-09-30
